time,utility
271.0,0.2
272.0,0.2
273.0,0.3
274.0,0.3
275.0,0.3
276.0,0.3
277.0,0.3
278.0,0.3
279.0,0.3
280.0,0.3
281.0,0.3
282.0,0.3
283.0,0.3
284.0,0.3
285.0,0.3
286.0,0.3
287.0,0.3
288.0,0.3
289.0,0.3
290.0,0.2
291.0,0.2
292.0,0.2
293.0,0.2
294.0,0.2
295.0,0.2
296.0,0.2
297.0,0.4
298.0,0.4
299.0,0.4
300.0,0.4
301.0,0.4
302.0,0.4
303.0,0.4
304.0,0.3
305.0,0.2
306.0,0.2
307.0,0.2
308.0,0.2
309.0,0.2
310.0,0.2
311.0,0.2
312.0,0.2
313.0,0.2
314.0,0.2
315.0,0.2
316.0,0.2
317.0,0.2
318.0,0.1
319.0,0.1
320.0,0.1
321.0,0.1
322.0,0.1
323.0,0.1
324.0,0.1
325.0,0.1
326.0,0.1
327.0,0.1
328.0,0.1
329.0,0.1
330.0,0.1
331.0,0.1
332.0,0.1
333.0,0.1
334.0,0.1
335.0,0.1
336.0,0.1
337.0,0.1
338.0,0.3
339.0,0.5
340.0,0.5
341.0,0.5
342.0,0.4
343.0,0.4
344.0,0.4
345.0,0.5
346.0,0.4
347.0,0.4
348.0,0.4
349.0,0.4
350.0,0.4
351.0,0.4
352.0,0.5
353.0,0.5
354.0,0.5
355.0,0.5
356.0,0.5
357.0,0.5
358.0,0.5
359.0,0.3
360.0,0.3
361.0,0.4
362.0,0.5
363.0,0.5
364.0,0.4
365.0,0.4
366.0,0.5
367.0,0.5
368.0,0.3
369.0,0.3
370.0,0.3
371.0,0.3
372.0,0.3
373.0,0.2
374.0,0.2
375.0,0.2
376.0,0.2
377.0,0.2
378.0,0.2
379.0,0.2
380.0,0.2
381.0,0.3
382.0,0.3
383.0,0.3
384.0,0.3
385.0,0.3
386.0,0.3
387.0,0.3
388.0,0.3
389.0,0.3
390.0,0.3
391.0,0.4
392.0,0.4
393.0,0.4
394.0,0.5
395.0,0.6
396.0,0.5
397.0,0.5
398.0,0.4
399.0,0.5
400.0,0.5
401.0,0.6
402.0,0.6
403.0,0.6
404.0,0.5
405.0,0.6
406.0,0.6
407.0,0.6
408.0,0.5
409.0,0.5
410.0,0.4
411.0,0.3
412.0,0.3
413.0,0.2
414.0,0.2
415.0,0.2
416.0,0.2
417.0,0.2
418.0,0.2
419.0,0.2
420.0,0.2
